reference_number,watch_URL,brand,parent_model,specific_model,nickname,marketing_name,currency,price,image_URL,made_in,case_material,diameter,between_lugs,case_thickness,water_resistance,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description
A395/04299 - 395.110.24/0F01 AB60,https://www.corum-watches.com/collections/admiral/42/a395_04299-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,8800.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04299_2000x1300.jpg,Switzerland," Stainless steel, bezel in 5N 18K rose gold",  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Alligator leather,Blue,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution ,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04294 - 395.110.20/0F01 AN60,https://www.corum-watches.com/collections/admiral/42/a395_04294-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5170.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04294_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Alligator leather,Black,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution ,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04292 - 395.110.20/V720 AN60,https://www.corum-watches.com/collections/admiral/42/a395_04292-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04292_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04300 - 395.110.24/0F01 AN60,https://www.corum-watches.com/collections/admiral/42/a395_04300-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,8800.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04300_2000x1300.jpg,Switzerland," Stainless steel, bezel in 5N 18K rose gold",  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Alligator leather,Black,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27 to 31 rubies depending on the execution,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04247 - 395.110.20/V720 AA24,https://www.corum-watches.com/collections/admiral/42/a395_04247-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5390.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04247_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04249 - 395.110.24/V720 AA24,https://www.corum-watches.com/collections/admiral/42/a395_04249-automatic,Corum,Admiral collection,Admiral 42, Automatic ,Limited edition: XX/50,USD,10780.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04249_2000x1300.jpg,Switzerland," Stainless steel, bezel in 5N 18K rose gold",  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Stainless steel and 5N 18K rose gold,,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04250 - 395.110.24/F373 AA24,https://www.corum-watches.com/collections/admiral/42/a395_04250-automatic,Corum,Admiral collection,Admiral 42, Automatic ,Limited edition: XX/50,USD,8250.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04250_2000x1300.jpg,Switzerland," Stainless steel, bezel in 5N 18K rose gold",  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Vulcanized rubber,Blue,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04240 - 395.110.20/V720 AB52,https://www.corum-watches.com/collections/admiral/42/a395_04240-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,5170.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04240_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A395/04246 - 395.110.20/F373 AB52,https://www.corum-watches.com/collections/admiral/42/a395_04246-automatic,Corum,Admiral collection,Admiral 42, Automatic ,,USD,4950.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A395_04246_2000x1300.jpg,Switzerland, Stainless steel,  42 mm,21/18 mm,  10.30 mm,  100 meters / 10 ATM,Vulcanized rubber,Blue,Triple-blade folding clasp,Automatic,CO 395,42 hours,"4 Hz, 28’800 vph",27,"Hour, minute, small second, date","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A984/04251 - 984.111.20/V705 AA52,https://www.corum-watches.com/collections/admiral/42/a984_04251,Corum,Admiral collection,Admiral 42, Chronograph,,USD,7040.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A984_04251_2000x1300.jpg,Switzerland," Stainless steel, double antireflective sapphire, sapphire caseback",  42 mm,21/18 mm,  11.60 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 984,42 hours,"4 Hz, 28’800 vph",37,"Hour, minute, small second, date, chronograph","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A984/04252 - 984.111.20/V705 AN52,https://www.corum-watches.com/collections/admiral/42/a984_04252,Corum,Admiral collection,Admiral 42, Chronograph,,USD,7040.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A984_04252_2000x1300.jpg,Switzerland," Stainless steel, double antireflective sapphire, sapphire caseback",  42 mm,21/18 mm,  11.60 mm,  100 meters / 10 ATM,Stainless steel,,Triple-blade folding clasp,Automatic,CO 984,42 hours,"4 Hz, 28’800 vph",37,"Hour, minute, small second, date, chronograph","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A984/04253 - 984.111.20/F371 AN52,https://www.corum-watches.com/collections/admiral/42/a984_04253,Corum,Admiral collection,Admiral 42, Chronograph,,USD,6820.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/42/A984_04253_2000x1300.jpg,Switzerland," Stainless steel, double antireflective sapphire, sapphire caseback",  42 mm,21/18 mm,  11.60 mm,  100 meters / 10 ATM,Vulcanized rubber,Black,Triple-blade folding clasp,Automatic,CO 984,42 hours,"4 Hz, 28’800 vph",37,"Hour, minute, small second, date, chronograph","One of the most identifiable characteristics of an Admiral timepiece is the use of 12 nautical pennants as hour markers. These flags in fact conform to the International Code of Signals for indicating numbers using colored flags, so each hour is represented by its corresponding pennant. 
The Admiral 42 collection proposed a family of elegant timepieces with a more modern and refined silhouette. The resulting 42-mm diameter variations, with a slimmer case diameter, has become one of CORUM’s bestselling models over the recent years."
A297/04290 - 297.100.67/F249 FH10,https://www.corum-watches.com/collections/admiral/45/a297_04290-automatic-openworked,Corum,Admiral collection,Admiral 45, Openworked Automatic Luminescent Carbon,Limited edition: XX/25,USD,42460.0,https://www.corum-watches.com/wp-content/uploads/A297_04290_2_1300x1300.png,Switzerland, Carbon with green superluminova,  45 mm,23/20 mm,  14.30 mm,  100 meters / 10 ATM,Vulcanized rubber and calfskin leather,Black,Triple-blade folding clasp,Automatic,CO 297,48 hours,"4 Hz, 28’800 vph",37,"Hour, minute, power reserve","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A298/04277 - 298.100.46/F249 AD10,https://www.corum-watches.com/collections/admiral/45/a298_04277-tourbillon-openworked,Corum,Admiral collection,Admiral 45, Tourbillon Openworked ,Limited edition: XX/48,USD,72710.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A298_04277_2000x1300.jpg,Switzerland, Carbon with gold inclusion,  45 mm,23/20 mm,  13.40 mm,  100 meters / 10 ATM,Vulcanized rubber and calfskin leather,Black,Triple-blade folding clasp,Automatic,CO 298,72 hours,"3 Hz, 21'600 vph",37,"Hour, minute, flying tourbillon, power reserve, 3-minute counter","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A298/03899 - 298.100.04/F249 DD10,https://www.corum-watches.com/collections/admiral/45/A298_03899-tourbillon-openworked,Corum,Admiral collection,Admiral 45, Tourbillon Openworked ,Limited edition: XX/38,USD,82170.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A298_03899_2000x1300-2.jpg,Switzerland, Titanium grade 5,  45 mm,23/20 mm,  14.30 mm,  100 meters / 10 ATM,Vulcanized rubber and calfskin leather,Black,Triple-blade folding clasp,Automatic,CO 298,72 hours,"3 Hz, 21'600 vph",37,"Hour, minute, flying tourbillon, power reserve, 3-minute counter","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/04272 - 132.211.04/V200 AV51 Green,https://www.corum-watches.com/collections/admiral/45/a132_04272-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,Limited edition: XX/100,USD,12870.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A132_04272_2000x1300_B.jpg,Switzerland, Titanium grade 5,  45 mm,23/19 mm,  14.30 mm,  300 meters / 30 ATM,Titanium grade 5,,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Chronograph, hour, minute, second, date","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/04275 - 132.211.04/F377 AV51,https://www.corum-watches.com/collections/admiral/45/a132_04275-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,Limited edition: XX/100,USD,12100.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A132_04275_2000x1300_B.jpg,Switzerland, Titanium grade 5,  45 mm,23/20 mm,  14.30 mm,  300 meters / 30 ATM,Rubber,Green,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Chronograph, hour, minute, second, date","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/04254 - 132.211.04/V200 AB51,https://www.corum-watches.com/collections/admiral/45/a132_04254-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,Limited edition: XX/100,USD,12870.0,https://www.corum-watches.com/wp-content/uploads/A132_04254_1300x1300.png,Switzerland, Titanium grade 5,  45 mm,23/19 mm,  14.30 mm,  300 meters / 30 ATM,Titanium grade 5,,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Chronograph, hour, minute, second, date","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/04274 - 132.211.04/F373 AB51,https://www.corum-watches.com/collections/admiral/45/a132_04274-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,Limited edition: XX/100,USD,12100.0,https://www.corum-watches.com/wp-content/uploads/A132_04274_1300x1300.png,Switzerland, Titanium grade 5,  45 mm,23/20 mm,  14.30 mm,  300 meters / 30 ATM,Rubber,Blue,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Chronograph, hour, minute, second, date","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/03876 - 132.201.04/F371 AA01,https://www.corum-watches.com/collections/admiral/45/A132_03876-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,,USD,13860.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A132_03876_2000x1300_2.jpg,Switzerland, Titanium grade 5,  45 mm,23/20 mm,  14.30 mm,  300 meters / 30 ATM,Vulcanized rubber,Black,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Hour, minute, second, date, chronograph","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
A132/03931 - 132.211.95/F371 AN01,https://www.corum-watches.com/collections/admiral/45/A132_03931-chronograph,Corum,Admiral collection,Admiral 45, Chronograph,,USD,13860.0,https://www.corum-watches.com/wp-content/uploads/Collections/Admiral/45/A132_03931_2000x1300_2.jpg,Switzerland, Titanium grade 5 with black PVD treatment,  45 mm,23/20 mm,  14.30 mm,  300 meters / 30 ATM,Vulcanized rubber,Black,Triple-blade folding clasp,Automatic,CO 132,42 hours,"4 Hz, 28’800 vph",39,"Hour, minute, second, date, chronograph","Unveiled in 1960, only five years after the brand’s creation, the Admiral Collection embodies CORUM’s idea of maritime watchmaking. Although it has always been loyal to its artistic fibre, CORUM has never been afraid to set sail for distant shores.
That’s the case today with the Admiral 45 Collection, a radical timepiece that showcases both a nautical design and watchmaking mechanics with a sporty chic and energetic feel and touch, offering a variety of complications from a chronograph to a stunning openworked tourbillon."
Z300/03999 - 300.100.55/0F02 0010,https://www.corum-watches.com/collections/lab/02/z300_03999-rose-gold,Corum,Lab collection,Lab 02,,Limited edition: Unique Piece,USD,222970.0,https://www.corum-watches.com/wp-content/uploads/Collections/Lab/02/Z300_03999_2000x1300.jpg,Switzerland, 5N 18K rose gold,  45 mm,22/18 mm,  13.40 mm,  30 meters / 3 ATM,Alligator,Brown,Triple folding clasp,Hand-wound,CO 300,55 hours,"3 Hz, 21'600 vph",33,"Hour, minute, date, flying tourbillon, power reserve","The LAB 02 is a perfect example of aesthetic perfection and extraordinary craftsmanship. The highly complicated manual movement stretches the imagination as well as the physical constraints of watchmaking.
In its creation, CORUM’s development team’s members challenged themselves to offer not only a flying tourbillon but also a flying gear train of sorts. The question they posed themselves: “What if the movement doesn’t have bridges?” They then tirelessly pursued their unconventional quest to make it a reality."
Z300/04111 - 300.100.85/0F02 0010,https://www.corum-watches.com/collections/lab/02/z300_04111-rose-gold-diamonds,Corum,Lab collection,Lab 02,,Limited edition: Unique Piece,USD,257730.0,https://www.corum-watches.com/wp-content/uploads/Collections/Lab/02/Z300_04111_2000x1300.jpg,Switzerland," 5N 18K rose gold, 108 round diamonds, ~ 2.99 ct",  45 mm,22/18 mm,  13.40 mm,  30 meters / 3 ATM,Alligator,Brown,Triple folding clasp,Automatic,CO 300,55 hours,"3 Hz, 21'600 vph",33,"Hour, minute, date, flying tourbillon, power reserve","The LAB 02 is a perfect example of aesthetic perfection and extraordinary craftsmanship. The highly complicated manual movement stretches the imagination as well as the physical constraints of watchmaking.
In its creation, CORUM’s development team’s members challenged themselves to offer not only a flying tourbillon but also a flying gear train of sorts. The question they posed themselves: “What if the movement doesn’t have bridges?” They then tirelessly pursued their unconventional quest to make it a reality."
R374/04417 - 374.710.69/0F09 0002,https://www.corum-watches.com/collections/heritage/romvlvs/r374_04417-billionaire-tourbillon,Corum,Heritage collection,Heritage Romvlvs, Billionaire Tourbillon,Limited edition: 1/1,USD,607310.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Romvlvs/R374_04417_2000x1300-2.jpg,Switzerland," 18K white gold, double antireflective sapphire crystal, sapphire caseback, 86 baguette-cut diamonds, ~ 2.65 ct, 52 baguette-cut sapphires, ~ 4.23 ct, 277 round diamonds, ~ 1.22 ct",  44 mm,22/18 mm,  10.25 mm,  30 meters / 3 ATM,Alligator,Cognac,Triple folding clasp,Hand-wound,CO 374,90 hours,"3 Hz, 21’600 vph",17,"Hour, minute, flying tourbillon","The Romvlvs timepiece was created by accident. In 1966, when CORUM received the dials for its new creation Romvlvs in the run-up to the Baselworld show, the hour markers were missing. The supplier had forgotten to add them.
René Bannwart, who had founded the company eleven years earlier, decided to go ahead with the Basel launch anyway. As an emergency measure, he had the hour markers engraved directly on the bezel. Thus the Romvlvs was born, and it would go on to become one of the brand’s greatest successes."
R374/03464 - 374.710.69/0F09 0000,https://www.corum-watches.com/collections/heritage/romvlvs/r374_03464-billionaire-tourbillon,Corum,Heritage collection,Heritage Romvlvs, Billionaire Tourbillon,,USD,540980.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Romvlvs/R374_03464_2000x1300.jpg,Switzerland," 18K white gold, double antireflective sapphire crystal, sapphire caseback, 154 baguette-cut diamonds, ~ 8.68 ct, 44 baguette-cut multicolor sapphires, ~ 1.42 ct",  44 mm,22/18 mm,  10.25 mm,  30 meters / 3 ATM,Alligator,White,Triple folding clasp,Hand-wound,CO 374,90 hours,"3 Hz, 21’600 vph",17,"Hour, minute, flying tourbillon","The Romvlvs timepiece was created by accident. In 1966, when CORUM received the dials for its new creation Romvlvs in the run-up to the Baselworld show, the hour markers were missing. The supplier had forgotten to add them.
René Bannwart, who had founded the company eleven years earlier, decided to go ahead with the Basel launch anyway. As an emergency measure, he had the hour markers engraved directly on the bezel. Thus the Romvlvs was born, and it would go on to become one of the brand’s greatest successes."
C082/03167 - 082.515.56/0001 MU51,https://www.corum-watches.com/collections/heritage/coin/c082_03167-automatic-yellow-gold,Corum,Heritage collection,Heritage Coin,,,USD,37620.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Coin/C082_03167_2000x1300.jpg,Switzerland," 3N 18K yellow gold, crown set with 1 VS / G to H / full cut diamond, 0.17 ct, 22K yellow gold coin back cover",  43 mm,22/18 mm,  7.60 mm,  10 meters / 1 ATM,Alligator,Black,Pin buckle,Automatic,CO 082,42 hours,"4 Hz, 28’800 vph",21,"Hour, minute","This really does qualify as a historic creation – for CORUM and for watchmaking as a whole.
First dreamed up in 1964, the design is so singular that it has had a lasting impact on almost three consecutive generations of collectors – and U.S. presidents! George Bush Sr, Ronald Reagan, Lyndon B. Johnson, Jimmy Carter, Richard Nixon, and Bill Clinton have all worn the Coin, as have a number of leading figures in art and design, including renowned artist Andy Warhol."
C082/03414 - 082.515.56/0001 MU65,https://www.corum-watches.com/collections/heritage/coin/c082_03414-automatic-yellow-gold-diamonds,Corum,Heritage collection,Heritage Coin,,,USD,44990.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Coin/C082_03414_2000x1300.jpg,Switzerland," 3N 18K yellow gold, crown set with 1 round diamond, ~ 0.17 ct, 22K yellow gold coin back cover",  43 mm,22/18 mm,  7.60 mm,  10 meters / 1 ATM,Alligator,Black,Pin buckle,Automatic,CO 082,42 hours,"4 Hz, 28’800 vph",21,"Hour, minute","This really does qualify as a historic creation – for CORUM and for watchmaking as a whole.
First dreamed up in 1964, the design is so singular that it has had a lasting impact on almost three consecutive generations of collectors – and U.S. presidents! George Bush Sr, Ronald Reagan, Lyndon B. Johnson, Jimmy Carter, Richard Nixon, and Bill Clinton have all worn the Coin, as have a number of leading figures in art and design, including renowned artist Andy Warhol."
C082/02481 - 082.645.56/0001 MU52,https://www.corum-watches.com/collections/heritage/coin/c082_02481-automatic-yellow-gold,Corum,Heritage collection,Heritage Coin,,,USD,33220.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Coin/C082_02481_2000x1300.jpg,Switzerland," 3N 18K yellow gold, crown set with 1 VS / G to H / full cut diamond, 0.17 ct, 22K yellow gold coin back cover",  36 mm,19/16 mm,  7.10 mm,  30 meters / 3 ATM,Alligator,Black,Pin buckle,Automatic,CO 082,42 hours,"4 Hz, 28’800 vph",21,"Hour, minute","This really does qualify as a historic creation – for CORUM and for watchmaking as a whole.
First dreamed up in 1964, the design is so singular that it has had a lasting impact on almost three consecutive generations of collectors – and U.S. presidents! George Bush Sr, Ronald Reagan, Lyndon B. Johnson, Jimmy Carter, Richard Nixon, and Bill Clinton have all worn the Coin, as have a number of leading figures in art and design, including renowned artist Andy Warhol."
C374/04029 - 374.303.69/0F03 0000,https://www.corum-watches.com/collections/heritage/classical/R374_04029-billionaire-tourbillon,Corum,Heritage collection,Heritage Classical, Billionaire Tourbillon,,USD,677160.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Classic/C374_04029_2000x1300_B.jpg,Switzerland," 18K white gold, 687 rounds diamonds, ~ 7.57 ct, 124 baguette-cut diamonds, ~ 8.75 ct, 44 baguette blue sapphires ~ 1.39 ct, 1 blue sapphire, ~ 0.36 ct",  46.50 mm,21/18 mm,  13.65 mm,  30 meters / 3 ATM,Alligator,Blue,Triple folding clasp,Automatic,CO 374,90 hours ,"3 Hz, 21’600 vph",17,"Hour, minute, flying tourbillon","With the CORUM Heritage Classical, time appears to stand still, thus allowing us to contemplate it at leisure… A stunning illusion, since it is in fact all the while twirling constantly amid the intense radiance created by a spectacular array of diamonds and sapphires, offering a transparent revelation of the most beautiful complication of all time. "
C374/04132 - 374.301.69/0F01 0000,https://www.corum-watches.com/collections/heritage/classical/R374_04132-billionaire-tourbillon,Corum,Heritage collection,Heritage Classical, Billionaire Tourbillon,,USD,588940.0,https://www.corum-watches.com/wp-content/uploads/Collections/Heritage/Classic/C374_04132_2000x1300_B.jpg,Switzerland," 18K white gold, 736 round diamonds, ~ 8.15 ct, 124 baguette-cut diamonds, ~ 8.75 ct, 44 baguette-cut black diamonds, ~ 1.17 ct",  46.50 mm,21/18 mm,  13.65 mm,  30 meters / 3 ATM,Alligator,Black,Triple folding clasp,Automatic,CO 374,90 hours ,"3 Hz, 21’600 vph",17,"Hour, minute, flying tourbillon","With the CORUM Heritage Classical, time appears to stand still, thus allowing us to contemplate it at leisure… A stunning illusion, since it is in fact all the while twirling constantly amid the intense radiance created by a spectacular array of diamonds and sapphires, offering a transparent revelation of the most beautiful complication of all time. "
